product_name,product_url,objects_extracted
Ludos Clamor Wired Earbuds in-Ear Headphones,https://m.media-amazon.com/images/I/51Le9g6qjRL._AC_UY327_FMwebp_QL65_.jpg,"['White', 'Light', 'Headphones', 'Human body', 'Output device', 'Audio equipment', 'Gadget', 'Peripheral', 'Microphone', 'Ear', 'Material property']"
Avantree E171 - Sports Earbuds Wired with Microphone,https://m.media-amazon.com/images/I/51RiCPSTwsL._AC_UY327_FMwebp_QL65_.jpg,"['Peripheral', 'Font', 'Headphones', 'Ear', 'Gadget', 'Material property', 'Audio equipment', 'Output device', 'Technology', 'Auto part', 'Circle']"
FIRSTBLOOD ONLY GAME. AJ52 Watcher RGB Gaming Mouse,https://m.media-amazon.com/images/I/51WaY1BLs8L._AC_UY327_FMwebp_QL65_.jpg,['Mouse']
"Redragon M612 Predator RGB Gaming Mouse, 8000 DPI",https://m.media-amazon.com/images/I/61vF4LdktpL._AC_UY327_FMwebp_QL65_.jpg,['Mouse']
Razer Basilisk V3 Customizable Ergonomic Gaming Mouse,https://m.media-amazon.com/images/I/71QbOWMcP9L._AC_UY327_FMwebp_QL65_.jpg,['Mouse']
"Redragon Gaming Mouse, Wireless Mouse Gaming with 8000 DPI",https://m.media-amazon.com/images/I/61QY3V6A-NL._AC_UY327_FMwebp_QL65_.jpg,['Mouse']
"BENGOO Gaming Mouse Wired, Ergonomic Gamer Laptop PC",https://m.media-amazon.com/images/I/61lCLrCtuhL._AC_UY327_FMwebp_QL65_.jpg,['Mouse']
LTC Circle Pit HM-001 RGB Gaming Mouse with 2 Side Buttons,https://m.media-amazon.com/images/I/61kutmcYxSL._AC_UY327_FMwebp_QL65_.jpg,['Mouse']
Razer Viper V2 Pro HyperSpeed Wireless Gaming Mouse,https://m.media-amazon.com/images/I/61PZvXc7UFL._AC_UY327_FMwebp_QL65_.jpg,['Mouse']
Alienware AW720M Tri-Mode Wireless Gaming Mouse,https://m.media-amazon.com/images/I/61lZalbTWAL._AC_UY327_FMwebp_QL65_.jpg,['Mouse']
ASUS ROG Spatha X Wireless Gaming Mouse,https://m.media-amazon.com/images/I/8167lxUe8SL._AC_UY327_FMwebp_QL65_.jpg,"['Peripheral', 'Automotive design', 'Input device', 'Sports gear', 'Font', 'Helmet', 'Computer hardware', 'Mouse', 'Personal protective equipment', 'Electric blue', 'Logo']"
Corsair K70 RGB PRO Wired Mechanical Gaming Keyboard,https://m.media-amazon.com/images/I/61Yupm5970L._AC_UY327_FMwebp_QL65_.jpg,['Computer keyboard']
MageGee Portable 60% Mechanical Gaming Keyboard,https://m.media-amazon.com/images/I/618zZ7u3sUL.__AC_SX300_SY300_QL70_FMwebp_.jpg,['Computer keyboard']
Womier S-K80 75% Keyboard with Color Multimedia Display Mechanical Gaming Keyboard,https://m.media-amazon.com/images/I/71WBwf2mkXL._AC_UY327_FMwebp_QL65_.jpg,['Computer keyboard']
Redragon S101 Gaming Keyboard,https://m.media-amazon.com/images/I/71QDJHG1PqL._AC_UY327_FMwebp_QL65_.jpg,"['Computer keyboard', 'Mouse']"
Razer Ornata V3 X Gaming Keyboard,https://m.media-amazon.com/images/I/71pqfvJKW5L._AC_UY327_FMwebp_QL65_.jpg,['Computer keyboard']
Corsair K55 CORE RGB Membrane Wired Gaming Keyboard,https://m.media-amazon.com/images/I/71rcQyKSOcL._AC_UY327_FMwebp_QL65_.jpg,['Computer keyboard']
AULA Gaming Keyboard,https://m.media-amazon.com/images/I/71cd3Qs3fEL._AC_UY327_FMwebp_QL65_.jpg,"['Computer keyboard', 'Mouse']"
MageGee 75% Mechanical Gaming Keyboard with Blue Switch,https://m.media-amazon.com/images/I/61eavECexVL._AC_UY327_FMwebp_QL65_.jpg,['Computer keyboard']
Snpurdiri 60% Wired Gaming Keyboard,https://m.media-amazon.com/images/I/61UGJ7z-sUL._AC_UY327_FMwebp_QL65_.jpg,['Computer keyboard']
Redragon K585 DITI One-Handed RGB Mechanical Gaming Keyboard,https://m.media-amazon.com/images/I/71zS0BekOfL._AC_UY327_FMwebp_QL65_.jpg,['Computer keyboard']
Creative Farmer Fruit Seeds,https://m.media-amazon.com/images/I/513SGvOptJL._AC_UL480_FMwebp_QL65_.jpg,"['Apple', 'Fruit']"
MVKR - Live Red Apple fruit Plant This Varity is Supporting all india weather,https://m.media-amazon.com/images/I/41nswQESVVL._AC_UL480_FMwebp_QL65_.jpg,"['Fruit', 'Fruit', 'Fruit', 'Apple', 'Fruit', 'Apple', 'Apple', 'Fruit', 'Apple', 'Apple']"
GARDENIFY INDIA F1 ALPINE HYBRIDE FRESH RED APPLE SEEDS/FRUITS SEEDS,https://m.media-amazon.com/images/I/51FLUURf1kL._AC_UL480_FMwebp_QL65_.jpg,"['Apple', 'Apple', 'Apple']"
Green view Original All India Weather Supporting Live Apple Fruit,https://m.media-amazon.com/images/I/414LGHqG4vL._AC_UL480_FMwebp_QL65_.jpg,['Apple']
Natura GreenHouse NMK-01 Custard Apple,https://m.media-amazon.com/images/I/41HC1r-JCqL._AC_UL480_FMwebp_QL65_.jpg,"['Fruit', 'Fruit', 'Fruit', 'Food', 'Food', 'Fruit', 'Fruit', 'Food', 'Apple']"
Stylish Bracelet For Men Leather Bracelet,https://m.media-amazon.com/images/I/710D-t-2LrL._AC_UL480_FMwebp_QL65_.jpg,['Bracelet']
6 PCs Mixed Multi-Layer Genuine Leather Bracelet,https://m.media-amazon.com/images/I/51RCyVOxVIL._AC_UL480_FMwebp_QL65_.jpg,['Bracelet']
Men's Fashion Jewellery High Polished Stylish Stainless,https://m.media-amazon.com/images/I/61vfipvWkLL._AC_UL480_FMwebp_QL65_.jpg,['Bracelet']
Stylish Boys Bracelet Stainless Steel Beads Silver Chain,https://m.media-amazon.com/images/I/71d2fcBxEjL._AC_UL480_FMwebp_QL65_.jpg,['Bracelet']
